icd_code,icd_version,long_title
0090,9,"Infectious colitis, enteritis, and gastroenteritis"
01160,9,"Tuberculous pneumonia [any form], unspecified"
01186,9,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01200,9,"Tuberculous pleurisy, unspecified"
01236,9,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
01525,9,"Tuberculosis of knee, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01631,9,"Tuberculosis of other urinary organs, bacteriological or histological examination not done"
01641,9,"Tuberculosis of epididymis, bacteriological or histological examination not done"
01721,9,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done"
01725,9,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01730,9,"Tuberculosis of eye, unspecified"
01790,9,"Tuberculosis of other specified organs, unspecified"
01886,9,"Other specified miliary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
04149,9,Other and unspecified Escherichia coli [E. coli]
05600,9,Rubella with unspecified neurological complication
0701,9,Viral hepatitis A without mention of hepatic coma
07022,9,Chronic viral hepatitis B with hepatic coma without hepatitis delta
09152,9,Syphilitic iridocyclitis (secondary)
0919,9,Unspecified secondary syphilis
0957,9,"Syphilis of synovium, tendon, and bursa"
