itemid,label,fluid,category,ref_range_lower,ref_range_upper,valueuom
51277,RDW,Blood,Hematology,10.5,15.5,%
51279,Red Blood Cells,Blood,Hematology,4.6,6.1,m/uL
51301,White Blood Cells,Blood,Hematology,4.0,10.0,K/uL
51249,MCHC,Blood,Hematology,32.0,37.0,g/dL
51221,Hematocrit,Blood,Hematology,40.0,51.0,%
51222,Hemoglobin,Blood,Hematology,13.7,17.5,g/dL
51265,Platelet Count,Blood,Hematology,150.0,400.0,K/uL
51250,MCV,Blood,Hematology,82.0,98.0,fL
51248,MCH,Blood,Hematology,26.0,32.0,pg
50902,Chloride,Blood,Chemistry,96.0,108.0,mEq/L
50882,Bicarbonate,Blood,Chemistry,22.0,32.0,mEq/L
50960,Magnesium,Blood,Chemistry,1.6,2.6,mg/dL
51006,Urea Nitrogen,Blood,Chemistry,6.0,20.0,mg/dL
50893,"Calcium, Total",Blood,Chemistry,8.4,10.3,mg/dL
50983,Sodium,Blood,Chemistry,135.0,147.0,mEq/L
50971,Potassium,Blood,Chemistry,3.3,5.1,mEq/L
50868,Anion Gap,Blood,Chemistry,10.0,18.0,mEq/L
50912,Creatinine,Blood,Chemistry,0.5,1.2,mg/dL
50931,Glucose,Blood,Chemistry,70.0,100.0,mg/dL
50970,Phosphate,Blood,Chemistry,2.7,4.5,mg/dL
